Description,TotalSalesDollars,ProfitMargin
Ch Haut Piquat 09,493.74000000000007,94.73001984850326
Ch Haut-Bailly 09 Pessac Brd,2526.8100000000004,96.58225193029946
Ch Haut-Brion Pessac 09 Brdx,3599.96,49.32443693818821
Ch Haut-Robert 10,2582.649999999997,86.5696087352138
Ch Hyot Castillon Brdx,279.92,82.87367819376965
Ch Jean De Gue Lalande 10,386.91,62.21343464888476
Ch Jean de Gue Lalande de Po,1999.5,52.93623405851463
Ch Julien Royalty Red,63.48,34.97164461247637
Ch La Bouree Castillion Brdx,968.4900000000002,18.752904005203995
Ch La Cardone Medoc 09,2458.769999999998,81.74697104649886
Ch La Croix Lartigue 09,2534.3499999999985,99.00763509381103
Ch La Croix de Beaucailou 10,1424.85,95.49566621047829
Ch La Dom St Emil Gr Cru 09,401.94,77.77777777777779
Ch La Fleur Patris-Querre 09,493.81000000000006,96.39537473927219
Ch La Gordonne Chapelle Rose,27.99,32.440157198999636
Ch La Louviere Pssc-Leg Roug,779.7,70.92214954469668
Ch La Mondotte 09 St Emilion,1109.97,33.33333333333333
Ch La Rousseliere St Estephe,48146.79,48.42335283411417
Ch LaGrange 10 Brdx,3179.6999999999994,86.3005943956977
Ch Lacoste-Borie Pauillac 10,515.88,66.66666666666666
Ch Lafite Rothschild 12,3899.9399999999996,31.034323604978535
Ch Lagrange 10,303.96,83.22147651006712
Ch Lalande Boire 10 Brdx,797.8100000000001,86.32757172760431
Ch Lalande Borie 11 Julien,1183.63,77.33075369836858
Ch Langoa Barton St Julien,815.88,49.66539196940727
Ch Lascombes 10 Brdx,1439.92,7.717095394188574
Ch Lassegue 05 GC St Emilion,1155.8799999999999,40.92120289303388
Ch Lassegue 07 St Emilion AC,924.8100000000001,22.082373676755225
Ch Le Gay Pomerol,4999.499999999999,70.27062706270625
Ch Leoville Barton 10 St Jul,779.94,56.427417493653365
Ch Leoville Barton 12 St Jul,6699.329999999999,56.3859371011728
Ch Leoville Barton St Julien,1208.87,85.11254311878035
Ch Leoville Las Cases 11 Jul,1999.9,79.99949997499876
Ch Leoville Las Cases St-Jul,1434.93,53.008160676827444
Ch Les Carruades 11 Lafitte,3519.8399999999992,95.94157688985862
Ch Les Flefs de LaGrange 10,314.93,34.62991775950211
Ch Les Granges Brdx,3461.429999999985,93.41543812817244
Ch Les Ormes Saint-Julien,4929.149999999999,78.9659474757311
Ch Lilian 09 Ladouys St Este,443.88,56.99738668108498
Ch Lynch Bages 12 Pauillac,7799.349999999999,68.03015635918378
